epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/distill_feat_loss,train/distill_cls_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/distill_feat_loss,val/distill_cls_loss,old/metrics/precision(B),old/metrics/recall(B),old/metrics/mAP50(B),old/metrics/mAP50-95(B),new/metrics/precision(B),new/metrics/recall(B),new/metrics/mAP50(B),new/metrics/mAP50-95(B),joint/metrics/precision(B),joint/metrics/recall(B),joint/metrics/mAP50(B),joint/metrics/mAP50-95(B),lr/pg0,lr/pg1,lr/pg2
66,3308.54,0.91747,0.51896,0.93403,0.05357,0.0029,0.9272,0.75243,0.87234,0.62231,0.97811,0.51606,0.98658,0.05178,0.00267,0.93396,0.95904,0.97937,0.71334,0.79083,0.70588,0.724,0.53574,0.83545,0.83502,0.83682,0.6137,0.000594286,0.000594286,0.000594286
67,3358.41,0.91312,0.51089,0.93381,0.0546,0.00282,0.83256,0.8084,0.86466,0.6265,0.95274,0.51417,0.98534,0.0474,0.00274,0.95756,0.93174,0.97783,0.72432,0.79538,0.76471,0.7281,0.56176,0.86273,0.83324,0.85022,0.64046,0.000577782,0.000577782,0.000577782
68,3408.34,0.91195,0.51406,0.93183,0.05722,0.00299,0.78071,0.89094,0.89294,0.63752,0.94951,0.49764,0.9699,0.04837,0.00278,0.9651,0.92833,0.98122,0.71764,0.85161,0.70588,0.73928,0.54151,0.87814,0.82159,0.84404,0.61682,0.000561279,0.000561279,0.000561279
69,3458.08,0.91556,0.51164,0.93843,0.05111,0.00271,0.79091,0.85627,0.88512,0.63224,0.96326,0.50565,0.97906,0.04344,0.00266,0.97459,0.91618,0.98141,0.7141,0.75728,0.76471,0.73415,0.5304,0.82349,0.85505,0.84518,0.61214,0.000544776,0.000544776,0.000544776
70,3507.52,0.92715,0.52757,0.94773,0.05519,0.00288,0.89258,0.79506,0.88563,0.64532,0.94036,0.50339,0.97773,0.04696,0.00286,0.95953,0.93048,0.98272,0.7187,0.85731,0.64706,0.73232,0.55124,0.82378,0.83446,0.85333,0.63127,0.000528272,0.000528272,0.000528272
71,3557.11,0.8909,0.50146,0.92519,0.04972,0.003,0.86607,0.79879,0.91319,0.65932,0.9826,0.50464,0.99175,0.04544,0.00266,0.96703,0.9215,0.97842,0.71048,0.89889,0.64706,0.77248,0.55657,0.93062,0.78428,0.86629,0.6266,0.000511769,0.000511769,0.000511769
72,3606.42,0.89914,0.49942,0.92603,0.04802,0.00275,0.81936,0.8852,0.90116,0.65549,0.96668,0.49921,0.98464,0.04625,0.00265,0.96435,0.92311,0.97913,0.71583,0.89039,0.64706,0.71124,0.52334,0.92685,0.76759,0.84237,0.61653,0.000495266,0.000495266,0.000495266
73,3656.28,0.89179,0.50717,0.9334,0.052,0.00284,0.8861,0.73778,0.87238,0.6203,0.96311,0.50249,0.98146,0.04483,0.00269,0.95431,0.9198,0.97814,0.71118,0.88455,0.64706,0.69897,0.48047,0.92463,0.77779,0.83131,0.59091,0.000478762,0.000478762,0.000478762
74,3705.62,0.88678,0.49515,0.92507,0.04807,0.00292,0.94037,0.71953,0.87996,0.65848,0.91663,0.48403,0.96855,0.04839,0.00253,0.96237,0.93686,0.98365,0.73794,0.7977,0.69643,0.74137,0.57259,0.91082,0.76249,0.85255,0.64613,0.000462259,0.000462259,0.000462259
75,3755.55,0.88342,0.49656,0.92989,0.05104,0.00268,0.9175,0.79698,0.89625,0.65162,0.96578,0.50071,0.99385,0.04372,0.00267,0.93591,0.92662,0.977,0.70953,0.85001,0.66771,0.76396,0.56564,0.8686,0.77108,0.85979,0.62991,0.000445756,0.000445756,0.000445756
